Event #0 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
103.320   282.8 103.320   321.7
103.516   341.4 103.516   373.0
103.711   363.4 103.711   394.3
103.906   409.3 103.906   430.9
104.102   435.6 104.102   454.5
104.297   460.8 104.297   471.1
104.492   469.5 104.492   477.7
104.688   481.0 104.688   480.9
104.883   485.6 104.883   481.6
105.078   480.1 105.078   466.5
105.273   476.1 105.273   459.7
105.469   456.9 105.469   429.9
105.664   437.8 105.664   406.9
105.859   398.2 105.859   357.3
106.055   382.9 106.055   342.8
106.250   322.2 106.250   270.3
106.445   284.3 106.445   229.4
106.641   210.1 106.641   149.9
106.836   181.7 106.836   121.6
107.031   101.6 107.031    37.1
107.227    37.5 107.227   -18.1
107.422   -32.1 107.422   -93.8
107.617   -63.0 107.617  -124.8
107.812  -143.6 107.812  -203.3
108.008  -197.0 108.008  -244.8
108.203  -271.6 108.203  -321.4
108.398  -303.8 108.398  -340.0
108.594  -351.4 108.594  -390.8
108.789  -395.7 108.789  -420.8
108.984  -434.9 108.984  -459.9
109.180  -451.8 109.180  -466.7
109.375  -480.9 109.375  -498.1
109.570  -495.9 109.570  -499.9
109.766  -499.9 109.766  -499.9
109.961  -499.9 109.961  -499.5
110.156  -499.9 110.156  -483.8
110.352  -492.6 110.352  -466.7
110.547  -467.8 110.547  -433.9
110.742  -444.7 110.742  -410.2
110.938  -401.4 110.938  -356.4
111.133  -367.8 111.133  -318.6
111.328  -299.5 111.328  -244.7
111.523  -262.0 111.523  -205.4
111.719  -192.8 111.719  -130.5
111.914  -143.2 111.914   -83.2
112.109   -60.0 112.109    -2.9
112.305   -33.1 112.305    30.2
112.500    54.8 112.500   106.6
112.695    98.1 112.695   151.4
112.891   174.0 112.891   220.8
113.086   209.7 113.086   252.5
113.281   275.2 113.281   315.4
113.477   315.4 113.477   349.8
113.672   365.4 113.672   397.4
113.867   389.5 113.867   409.6
114.062   425.9 114.062   444.5
114.258   447.2 114.258   459.2
114.453   470.3 114.453   476.0
114.648   478.3 114.648   481.2
114.844   485.0 114.844   481.8
115.039   485.0 115.039   479.0
115.234   477.3 115.234   460.1
115.430   470.8 115.430   451.4
115.625   445.4 115.625   413.2
115.820   418.1 115.820   385.1
116.016   376.7 116.016   332.9
116.211   352.6 116.211   308.7
116.406   300.7 116.406   244.4
116.602   254.9 116.602   201.9
116.797   178.7 116.797   120.9
116.992   145.1 116.992    83.2
117.188    51.5 117.188   -14.2
117.383    10.8 117.383   -51.6
117.578   -72.7 117.578  -132.9
117.773  -104.2 117.773  -159.3
117.969  -191.8 117.969  -239.0
118.164  -229.8 118.164  -280.2
118.359  -295.8 118.359  -341.0
118.555  -325.9 118.555  -362.8
118.750  -389.6 118.750  -421.3
118.945  -409.0 118.945  -436.4
119.141  -457.2 119.141  -475.3
119.336  -471.5 119.336  -480.3
119.531  -492.0 119.531  -499.9
119.727  -499.5 119.727  -499.9
119.922  -499.9 119.922  -499.9
120.117  -499.9 120.117  -492.0
120.312  -495.1 120.312  -470.7
120.508  -478.3 120.508  -453.7
120.703  -445.0 120.703  -408.8
120.898  -424.5 120.898  -385.3
121.094  -373.8 121.094  -326.0
121.289  -335.5 121.289  -288.2
121.484  -268.0 121.484  -212.3
121.680  -234.8 121.680  -178.9
121.875  -153.3 121.875   -89.6
122.070   -95.2 122.070   -38.6
122.266    -6.9 122.266    48.7
122.461    17.1 122.461    76.8
122.656    93.7 122.656   151.8
122.852   146.7 122.852   195.2
123.047   227.7 123.047   266.6
123.242   249.1 123.242   289.6
123.438   305.8 123.438   340.5
123.633   335.8 123.633   368.7
123.828   394.0 123.828   413.4
124.023   413.0 124.023   433.4
124.219   441.0 124.219   455.7
124.414   458.0 124.414   468.9
124.609   474.1 124.609   480.9
124.805   482.3 124.805   482.7
125.000   484.1 125.000   475.5
125.195   480.4 125.195   468.7
125.391   469.0 125.391   445.8
125.586   457.4 125.586   431.5
125.781   425.7 125.781   389.6
125.977   407.0 125.977   368.3
126.172   349.7 126.172   302.1
126.367   326.0 126.367   275.6
126.562   259.0 126.562   203.9
126.758   216.2 126.758   157.6
126.953   137.2 126.953    70.2
127.148   108.3 127.148    46.7
127.344    16.4 127.344   -42.9
127.539   -23.8 127.539   -81.0
127.734  -113.0 127.734  -164.5
127.930  -150.3 127.930  -201.7
128.125  -225.8 128.125  -277.0
128.320  -262.8 128.320  -306.0
128.516  -342.4 128.516  -376.3
128.711  -360.1 128.711  -392.9
128.906  -412.3 128.906  -441.3
129.102  -443.4 129.102  -461.4
129.297  -470.0 129.297  -486.1
129.492  -482.4 129.492  -489.9
129.688  -499.8 129.688  -499.9
129.883  -499.9 129.883  -499.9
130.078  -499.9 130.078  -493.4
130.273  -499.9 130.273  -481.6
130.469  -483.2 130.469  -454.6
130.664  -459.0 130.664  -424.1
130.859  -420.4 130.859  -380.2
131.055  -395.5 131.055  -352.9
131.250  -334.8 131.250  -281.8
131.445  -285.3 131.445  -231.2
131.641  -219.2 131.641  -158.7
131.836  -178.4 131.836  -119.4
132.031  -107.7 132.031   -42.3
132.227   -45.5 132.227    14.2
132.422    34.8 132.422    89.3
132.617    77.0 132.617   124.6
132.812   154.6 132.812   205.0
133.008   196.0 133.008   245.6
133.203   273.5 133.203   309.6
133.398   294.6 133.398   332.5
133.594   344.0 133.594   374.6
133.789   378.4 133.789   404.6
133.984   416.5 133.984   437.0
134.180   438.4 134.180   453.7
134.375   460.9 134.375   472.5
134.570   473.2 134.570   480.1
134.766   483.3 134.766   479.3
134.961   484.7 134.961   477.8
135.156   480.0 135.156   464.3
135.352   472.8 135.352   452.3
135.547   446.9 135.547   416.2
135.742   431.5 135.742   399.5
135.938   388.9 135.938   347.9
136.133   357.4 136.133   315.6
136.328   296.0 136.328   243.8
136.523   267.3 136.523   213.8
136.719   194.1 136.719   135.3
136.914   140.1 136.914    81.9
137.109    69.1 137.109     6.2
137.305    25.7 137.305   -29.9
137.500   -56.1 137.500  -113.3
137.695   -96.1 137.695  -150.7
137.891  -181.8 137.891  -232.2
138.086  -208.3 138.086  -259.5
138.281  -282.7 138.281  -330.9
138.477  -320.9 138.477  -362.0
138.672  -380.0 138.672  -412.6
138.867  -395.7 138.867  -424.2
139.062  -444.7 139.062  -470.3
139.258  -466.2 139.258  -480.5
139.453  -490.8 139.453  -499.7
139.648  -495.5 139.648  -499.9
139.844  -499.9 139.844  -499.9
140.039  -499.9 140.039  -497.3
140.234  -493.4 140.234  -474.0
140.430  -481.2 140.430  -456.9
140.625  -449.9 140.625  -418.2
140.820  -422.7 140.820  -382.2
141.016  -370.9 141.016  -325.5
141.211  -343.3 141.211  -297.5
141.406  -276.7 141.406  -220.4
141.602  -233.4 141.602  -177.8
141.797  -155.2 141.797   -93.5
141.992  -116.1 141.992   -59.7
142.188   -39.5 142.188    16.3
142.383    19.5 142.383    73.8
142.578    88.1 142.578   143.6
142.773   127.5 142.773   176.2
142.969   202.5 142.969   242.3
143.164   233.8 143.164   278.9
143.359   303.1 143.359   336.3
143.555   327.9 143.555   360.8
143.750   381.8 143.750   405.1
143.945   412.8 143.945   432.9
144.141   441.3 144.141   459.2
144.336   458.5 144.336   464.9
144.531   474.2 144.531   479.4
144.727   482.3 144.727   482.5
144.922   485.0 144.922   475.1
145.117   482.3 145.117   470.8
145.312   470.3 145.312   448.7
145.508   457.0 145.508   432.1
145.703   419.8 145.703   383.5
145.898   405.1 145.898   368.8
146.094   349.6 146.094   303.3
146.289   314.5 146.289   264.1
146.484   243.5 146.484   188.0
146.680   216.8 146.680   163.9
146.875   140.8 146.875    71.5
147.070    82.5 147.070    19.2
147.266     1.2 147.266   -62.0
147.461   -30.3 147.461   -85.3
147.656  -101.8 147.656  -160.5
147.852  -158.8 147.852  -210.6
148.047  -234.4 148.047  -282.7
148.242  -273.6 148.242  -313.6
148.438  -332.6 148.438  -374.9
148.633  -378.5 148.633  -408.6
148.828  -419.4 148.828  -445.2
149.023  -440.2 149.023  -459.2
149.219  -472.0 149.219  -489.3
149.414  -486.5 149.414  -494.5
149.609  -499.9 149.609  -499.9
149.805  -499.9 149.805  -499.9
150.000  -499.9 150.000  -496.4
150.195  -499.9 150.195  -484.8
150.391  -480.2 150.391  -454.0
150.586  -464.6 150.586  -428.5
150.781  -420.0 150.781  -376.1
150.977  -388.2 150.977  -342.3
151.172  -333.2 151.172  -280.2
151.367  -296.0 151.367  -242.1
151.562  -227.3 151.562  -166.7
151.758  -168.8 151.758  -111.4
151.953   -89.6 151.953   -25.0
152.148   -54.7 152.148     1.9
152.344    26.1 152.344    83.1
152.539    62.6 152.539   121.4
152.734   144.5 152.734   198.5
152.930   182.0 152.930   229.8
153.125   254.7 153.125   293.3
153.320   287.8 153.320   328.9
153.516   347.9 153.516   381.6
153.711   365.0 153.711   391.3
153.906   409.5 153.906   431.5
154.102   430.5 154.102   449.5
154.297   462.1 154.297   473.1
154.492   471.9 154.492   477.1
154.688   481.7 154.688   482.2
154.883   486.2 154.883   480.9
155.078   481.0 155.078   467.0
155.273   475.1 155.273   458.3
155.469   453.2 155.469   425.0
155.664   437.9 155.664   405.9
155.859   396.5 155.859   354.9
156.055   377.7 156.055   337.0
156.250   312.7 156.250   259.3
156.445   277.4 156.445   226.7
156.641   204.4 156.641   143.4
156.836   172.3 156.836   114.0
157.031    98.8 157.031    40.0
157.227    49.6 157.227   -10.9
157.422   -32.1 157.422   -94.5
157.617   -73.7 157.617  -126.1
157.812  -147.8 157.812  -210.2
158.008  -191.5 158.008  -244.2
158.203  -272.9 158.203  -317.7
158.398  -301.1 158.398  -344.4
158.594  -368.2 158.594  -402.1
158.789  -394.9 158.789  -427.3
158.984  -440.4 158.984  -464.2
159.180  -453.0 159.180  -471.2
159.375  -485.0 159.375  -498.0
159.570  -497.0 159.570  -499.9
159.766  -499.9 159.766  -499.9
159.961  -499.9 159.961  -497.3
160.156  -499.9 160.156  -480.6
160.352  -487.7 160.352  -462.2
160.547  -463.2 160.547  -431.5
160.742  -443.6 160.742  -404.6
160.938  -394.9 160.938  -348.5
161.133  -354.0 161.133  -302.8
161.328  -281.6 161.328  -232.6
161.523  -259.5 161.523  -201.5
161.719  -177.5 161.719  -117.6
161.914  -135.2 161.914   -73.1
162.109   -54.0 162.109     2.0
162.305   -16.4 162.305    41.0
162.500    64.3 162.500   123.4
162.695   109.9 162.695   160.9
162.891   194.0 162.891   240.6
163.086   219.1 163.086   263.4
163.281   292.9 163.281   329.6
163.477   321.9 163.477   357.6
163.672   368.6 163.672   400.5
163.867   399.0 163.867   420.1
164.062   431.7 164.062   450.3
164.258   452.7 164.258   463.9
164.453   472.2 164.453   478.0
164.648   480.5 164.648   483.2
164.844   485.7 164.844   481.3
165.039   485.1 165.039   475.3
165.234   474.4 165.234   454.7
165.430   467.0 165.430   445.3
165.625   435.9 165.625   403.1
165.820   415.9 165.820   379.7
166.016   363.7 166.016   318.1
166.211   339.4 166.211   292.9
166.406   287.4 166.406   234.1
166.602   245.2 166.602   186.7
166.797   161.5 166.797    97.5
166.992   122.2 166.992    62.3
167.188    39.7 167.188   -20.3
167.383     0.9 167.383   -55.4
167.578   -82.5 167.578  -140.2
167.773  -125.4 167.773  -173.7
167.969  -207.8 167.969  -260.8
168.164  -244.4 168.164  -289.7
168.359  -308.9 168.359  -349.2
168.555  -343.0 168.555  -376.6
168.750  -393.6 168.750  -422.5
168.945  -419.1 168.945  -448.1
169.141  -463.3 169.141  -481.4
169.336  -471.3 169.336  -486.0
169.531  -498.7 169.531  -499.9
169.727  -499.9 169.727  -499.9
169.922  -499.9 169.922  -499.7
170.117  -499.9 170.117  -488.8
170.312  -486.7 170.312  -463.5
170.508  -468.9 170.508  -439.5
170.703  -430.1 170.703  -391.7
170.898  -405.9 170.898  -363.1
171.094  -354.5 171.094  -303.8
171.289  -318.1 171.289  -266.2
171.484  -233.9 171.484  -183.2
171.680  -207.7 171.680  -147.4
171.875  -132.8 171.875   -73.3
172.070   -84.9 172.070   -24.8
172.266    -0.4 172.266    61.5
172.461    48.9 172.461    98.8
172.656   122.0 172.656   171.9
172.852   169.3 172.852   222.2
173.047   235.1 173.047   282.7
173.242   264.6 173.242   304.4
173.438   321.4 173.438   357.3
173.633   355.4 173.633   388.1
173.828   405.8 173.828   426.8
174.023   419.6 174.023   439.6
174.219   450.3 174.219   463.4
174.414   465.4 174.414   473.9
174.609   478.2 174.609   480.4
174.805   480.7 174.805   480.0
175.000   484.8 175.000   473.1
175.195   480.1 175.195   465.6
175.391   464.6 175.391   439.9
175.586   447.0 175.586   417.5
175.781   411.7 175.781   373.9
175.977   382.8 175.977   342.0
176.172   331.9 176.172   284.0
176.367   306.7 176.367   258.5
176.562   234.7 176.562   171.3
176.758   186.6 176.758   128.3
176.953   107.6 176.953    42.5
177.148    72.8 177.148    13.4
177.344   -12.4 177.344   -77.7
177.539   -68.6 177.539  -125.5
177.734  -141.6 177.734  -194.6
177.930  -180.5 177.930  -225.6
178.125  -252.1 178.125  -301.6
178.320  -285.0 178.320  -326.4
178.516  -353.0 178.516  -394.2
178.711  -379.1 178.711  -406.1
178.906  -420.5 178.906  -448.2
179.102  -447.8 179.102  -468.6
179.297  -482.3 179.297  -496.9
179.492  -490.9 179.492  -497.2
179.688  -499.9 179.688  -499.9
179.883  -499.9 179.883  -499.9
180.078  -499.9 180.078  -488.4
180.273  -495.8 180.273  -474.4
180.469  -470.7 180.469  -441.1
180.664  -448.4 180.664  -411.4
180.859  -407.9 180.859  -365.7
181.055  -380.1 181.055  -328.3
181.250  -318.1 181.250  -263.1
181.445  -273.3 181.445  -218.1
181.641  -206.4 181.641  -147.5
181.836  -167.6 181.836  -111.2
182.031   -80.5 182.031   -19.5
182.227   -35.3 182.227    24.0
182.422    52.3 182.422   109.5
182.617    91.2 182.617   146.0
182.812   165.9 182.812   217.7
183.008   200.9 183.008   247.2
183.203   283.0 183.203   320.7
183.398   321.5 183.398   354.3
183.594   353.4 183.594   386.1
183.789   390.1 183.789   416.0
183.984   424.8 183.984   445.4
184.180   454.0 184.180   467.6
184.375   466.4 184.375   474.7
184.570   474.9 184.570   479.5
184.766   485.8 184.766   479.1
184.961   485.4 184.961   475.6
185.156   475.4 185.156   456.8
185.352   469.3 185.352   448.7
185.547   447.6 185.547   416.9
185.742   424.9 185.742   392.1
185.938   381.7 185.938   338.0
186.133   350.8 186.133   310.0
186.328   303.9 186.328   252.2
186.523   266.9 186.523   210.9
186.719   171.0 186.719   117.0
186.914   149.9 186.914    87.8
187.109    78.8 187.109    15.3
187.305    21.6 187.305   -35.5
187.500   -55.3 187.500  -116.9
187.695  -102.4 187.695  -158.1
187.891  -156.9 187.891  -211.5
188.086  -211.2 188.086  -254.3
188.281  -263.2 188.281  -317.2
188.477  -306.5 188.477  -343.5
188.672  -355.1 188.672  -393.2
188.867  -398.4 188.867  -428.2
189.062  -437.6 189.062  -463.9
189.258  -455.8 189.258  -473.7
189.453  -485.0 189.453  -492.3
189.648  -497.9 189.648  -499.9
189.844  -499.9 189.844  -499.9
190.039  -499.9 190.039  -495.4
190.234  -499.9 190.234  -483.6
190.430  -483.2 190.430  -458.1
190.625  -458.7 190.625  -424.5
190.820  -430.2 190.820  -391.2
191.016  -386.7 191.016  -345.3
191.211  -352.2 191.211  -300.6
191.406  -289.2 191.406  -231.9
191.602  -244.4 191.602  -189.0
191.797  -175.5 191.797  -116.0
191.992  -131.3 191.992   -71.3
192.188   -52.5 192.188    12.2
192.383    -0.2 192.383    56.9
192.578    68.8 192.578   127.9
192.773   119.0 192.773   173.4
192.969   180.3 192.969   235.7
193.164   227.5 193.164   272.5
193.359   283.5 193.359   322.7
193.555   322.2 193.555   356.6
193.750   374.0 193.750   402.1
193.945   401.7 193.945   425.8
194.141   434.3 194.141   452.4
194.336   456.2 194.336   467.9
194.531   472.2 194.531   478.1
194.727   477.8 194.727   479.2
194.922   483.2 194.922   479.5
195.117   484.5 195.117   474.0
195.312   475.8 195.312   454.3
195.508   461.8 195.508   438.1
195.703   435.6 195.703   402.0
195.898   408.8 195.898   373.5
196.094   367.7 196.094   322.8
196.289   326.9 196.289   281.2
196.484   272.5 196.484   218.0
196.680   228.2 196.680   172.9
196.875   161.5 196.875   102.7
197.070   118.1 197.070    57.2
197.266    33.1 197.266   -29.2
197.461   -24.6 197.461   -82.7
197.656   -93.7 197.656  -150.7
197.852  -137.6 197.852  -195.9
198.047  -218.7 198.047  -260.6
198.242  -260.3 198.242  -301.1
198.438  -324.2 198.438  -364.6
198.633  -360.5 198.633  -399.2
198.828  -407.9 198.828  -441.0
199.023  -447.3 199.023  -464.7
199.219  -477.7 199.219  -496.5
199.414  -491.3 199.414  -499.9
199.609  -499.9 199.609  -499.9
199.805  -499.9 199.805  -499.9
Event #8 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
  0.000  -499.9   0.000  -499.9
  0.195  -497.2   0.195  -484.8
  0.391  -488.4   0.391  -466.4
  0.586  -462.1   0.586  -431.7
  0.781  -439.1   0.781  -402.1
  0.977  -391.8   0.977  -351.9
  1.172  -356.5   1.172  -306.4
  1.367  -287.4   1.367  -234.1
  1.562  -257.9   1.562  -202.1
  1.758  -174.9   1.758  -118.9
  1.953  -135.5   1.953   -75.8
  2.148   -50.1   2.148    14.8
  2.344   -11.8   2.344    44.8
  2.539    71.8   2.539   125.5
  2.734   123.9   2.734   174.4
  2.930   195.5   2.930   244.3
  3.125   229.9   3.125   272.2
  3.320   289.0   3.320   327.2
  3.516   325.0   3.516   356.0
  3.711   386.5   3.711   405.3
  3.906   398.5   3.906   423.5
  4.102   434.3   4.102   450.6
  4.297   451.1   4.297   464.9
  4.492   470.0   4.492   478.4
  4.688   479.0   4.688   481.0
  4.883   485.0   4.883   479.6
  5.078   483.9   5.078   473.8
  5.273   472.8   5.273   452.4
  5.469   464.2   5.469   442.7
  5.664   434.5   5.664   401.3
  5.859   412.8   5.859   374.4
  6.055   360.1   6.055   314.8
  6.250   338.2   6.250   293.1
  6.445   272.4   6.445   216.6
  6.641   229.6   6.641   172.0
  6.836   157.3   6.836    90.4
  7.031   127.3   7.031    66.6
  7.227    39.8   7.227   -18.0
  7.422    -1.2   7.422   -65.1
  7.617   -65.6   7.617  -127.0
  7.812  -117.9   7.812  -177.1
  8.008  -207.3   8.008  -259.0
  8.203  -252.3   8.203  -298.1
  8.398  -313.9   8.398  -356.2
  8.594  -338.1   8.594  -374.4
  8.789  -396.4   8.789  -431.7
  8.984  -425.3   8.984  -450.8
  9.180  -463.4   9.180  -484.7
  9.375  -473.7   9.375  -488.0
  9.570  -496.9   9.570  -499.9
  9.766  -499.9   9.766  -499.9
  9.961  -499.9   9.961  -498.5
 10.156  -499.9  10.156  -486.5
 10.352  -484.8  10.352  -461.9
 10.547  -469.9  10.547  -440.6
 10.742  -430.6  10.742  -388.7
 10.938  -405.0  10.938  -365.9
 11.133  -354.5  11.133  -310.2
 11.328  -312.9  11.328  -258.0
 11.523  -239.1  11.523  -175.6
 11.719  -201.1  11.719  -146.6
 11.914  -128.7  11.914   -69.0
 12.109   -70.3  12.109   -15.2
 12.305     2.2  12.305    63.1
 12.500    45.8  12.500   102.6
 12.695   120.1  12.695   174.0
 12.891   167.7  12.891   219.9
 13.086   229.2  13.086   273.7
 13.281   261.3  13.281   310.3
 13.477   321.5  13.477   358.8
 13.672   358.2  13.672   385.8
 13.867   399.8  13.867   422.5
 14.062   417.5  14.062   435.6
 14.258   451.9  14.258   465.5
 14.453   464.9  14.453   473.6
 14.648   483.1  14.648   483.4
 14.844   483.7  14.844   482.6
 15.039   482.7  15.039   472.8
 15.234   481.2  15.234   466.8
 15.430   459.5  15.430   433.7
 15.625   438.2  15.625   409.5
 15.820   413.8  15.820   375.4
 16.016   380.0  16.016   339.0
 16.211   331.1  16.211   279.7
 16.406   271.5  16.406   217.4
 16.602   228.4  16.602   169.8
 16.797   186.2  16.797   131.4
 16.992    88.9  16.992    24.2
 17.188    48.7  17.188    -8.4
 17.383   -28.5  17.383   -94.2
 17.578   -63.4  17.578  -115.7
 17.773  -132.4  17.773  -194.2
 17.969  -184.4  17.969  -233.2
 18.164  -252.2  18.164  -301.9
 18.359  -292.9  18.359  -331.9
 18.555  -341.7  18.555  -379.9
 18.750  -371.0  18.750  -405.5
 18.945  -438.8  18.945  -458.8
 19.141  -445.7  19.141  -468.6
 19.336  -476.8  19.336  -490.5
 19.531  -491.4  19.531  -498.1
 19.727  -499.9  19.727  -499.9
 19.922  -499.9  19.922  -499.9
 20.117  -499.9  20.117  -493.6
 20.312  -499.4  20.312  -481.7
 20.508  -478.2  20.508  -451.7
 20.703  -459.2  20.703  -428.6
 20.898  -423.3  20.898  -383.0
 21.094  -386.5  21.094  -341.8
 21.289  -330.5  21.289  -279.5
 21.484  -293.2  21.484  -238.8
 21.680  -218.0  21.680  -165.6
 21.875  -163.9  21.875  -101.7
 22.070   -92.4  22.070   -37.4
 22.266   -47.0  22.266     9.5
 22.461    20.8  22.461    80.3
 22.656    82.1  22.656   140.7
 22.852   155.3  22.852   202.0
 23.047   193.6  23.047   243.7
 23.242   257.6  23.242   294.3
 23.438   293.0  23.438   334.9
 23.633   346.7  23.633   379.9
 23.828   377.8  23.828   402.0
 24.023   413.2  24.023   434.5
 24.219   432.7  24.219   449.6
 24.414   457.6  24.414   471.1
 24.609   469.7  24.609   478.2
 24.805   479.9  24.805   481.0
 25.000   483.6  25.000   478.9
 25.195   481.1  25.195   469.0
 25.391   471.6  25.391   455.1
 25.586   455.0  25.586   427.5
 25.781   433.3  25.781   402.7
 25.977   394.6  25.977   353.6
 26.172   364.2  26.172   322.0
 26.367   311.8  26.367   260.1
 26.562   264.1  26.562   211.0
 26.758   202.7  26.758   138.5
 26.953   161.9  26.953   107.3
 27.148   101.0  27.148    38.9
 27.344    38.8  27.344   -19.6
 27.539   -43.7  27.539  -110.8
 27.734   -96.5  27.734  -147.7
 27.930  -161.0  27.930  -221.5
 28.125  -213.5  28.125  -263.7
 28.320  -273.8  28.320  -322.7
 28.516  -322.7  28.516  -360.2
 28.711  -368.5  28.711  -406.0
 28.906  -400.3  28.906  -430.3
 29.102  -443.0  29.102  -466.1
 29.297  -460.5  29.297  -477.0
 29.492  -491.3  29.492  -499.9
 29.688  -499.9  29.688  -499.9
 29.883  -499.9  29.883  -499.9
 30.078  -499.9  30.078  -495.8
 30.273  -499.2  30.273  -482.6
 30.469  -487.1  30.469  -461.1
 30.664  -453.8  30.664  -423.4
 30.859  -426.8  30.859  -387.8
 31.055  -384.1  31.055  -337.2
 31.250  -342.2  31.250  -294.6
 31.445  -282.2  31.445  -230.0
 31.641  -249.4  31.641  -187.4
 31.836  -173.6  31.836  -118.2
 32.031  -127.0  32.031   -70.4
 32.227   -33.5  32.227    23.3
 32.422    19.3  32.422    72.6
 32.617    80.5  32.617   135.9
 32.812   128.5  32.812   176.7
 33.008   189.7  33.008   237.1
 33.203   230.4  33.203   275.9
 33.398   290.6  33.398   328.6
 33.594   336.8  33.594   370.0
 33.789   380.2  33.789   407.2
 33.984   404.7  33.984   428.9
 34.180   431.9  34.180   453.9
 34.375   455.0  34.375   469.0
 34.570   472.2  34.570   479.3
 34.766   479.7  34.766   482.1
 34.961   484.7  34.961   478.7
 35.156   482.1  35.156   471.3
 35.352   475.6  35.352   454.9
 35.547   462.3  35.547   439.8
 35.742   431.8  35.742   395.9
 35.938   405.6  35.938   367.3
 36.133   358.1  36.133   314.8
 36.328   323.8  36.328   275.3
 36.523   271.0  36.523   215.9
 36.719   225.8  36.719   172.3
 36.914   158.1  36.914    90.2
 37.109   101.8  37.109    43.9
 37.305    24.3  37.305   -42.1
 37.500   -29.7  37.500   -84.0
 37.695  -106.5  37.695  -170.5
 37.891  -144.6  37.891  -200.3
 38.086  -206.0  38.086  -261.4
 38.281  -258.7  38.281  -304.8
 38.477  -323.4  38.477  -365.5
 38.672  -358.8  38.672  -395.6
 38.867  -405.6  38.867  -437.1
 39.062  -434.4  39.062  -454.9
 39.258  -470.2  39.258  -486.1
 39.453  -484.6  39.453  -492.7
 39.648  -499.2  39.648  -499.9
 39.844  -499.9  39.844  -499.9
 40.039  -499.9  40.039  -499.1
 40.234  -499.9  40.234  -486.9
 40.430  -482.3  40.430  -459.0
 40.625  -463.4  40.625  -428.2
 40.820  -432.1  40.820  -390.8
 41.016  -406.5  41.016  -363.3
 41.211  -341.0  41.211  -289.2
 41.406  -299.6  41.406  -247.4
 41.602  -235.0  41.602  -174.7
 41.797  -182.7  41.797  -126.8
 41.992  -103.6  41.992   -42.7
 42.188   -55.0  42.188     5.1
 42.383    16.5  42.383    76.9
 42.578    66.5  42.578   115.4
 42.773   140.9  42.773   192.7
 42.969   192.8  42.969   233.1
 43.164   254.0  43.164   294.6
 43.359   285.9  43.359   326.1
 43.555   340.0  43.555   373.9
 43.750   371.8  43.750   401.2
 43.945   414.5  43.945   433.7
 44.141   427.4  44.141   447.0
 44.336   456.3  44.336   468.3
 44.531   469.7  44.531   478.1
 44.727   482.3  44.727   481.9
 44.922   483.6  44.922   479.1
 45.117   479.0  45.117   465.9
 45.312   473.9  45.312   456.5
 45.508   453.3  45.508   425.7
 45.703   436.4  45.703   405.1
 45.898   404.0  45.898   361.2
 46.094   373.5  46.094   332.2
 46.289   319.5  46.289   268.9
 46.484   287.6  46.484   236.9
 46.680   229.2  46.680   168.3
 46.875   165.3  46.875   109.1
 47.070    99.4  47.070    29.8
 47.266    49.5  47.266    -4.9
 47.461   -25.4  47.461   -90.8
 47.656   -83.8  47.656  -136.7
 47.852  -155.1  47.852  -207.5
 48.047  -193.0  48.047  -240.8
 48.242  -257.6  48.242  -306.3
 48.438  -307.5  48.438  -347.3
 48.633  -356.4  48.633  -390.2
 48.828  -382.5  48.828  -414.6
 49.023  -428.0  49.023  -458.2
 49.219  -457.6  49.219  -475.2
 49.414  -479.3  49.414  -495.2
 49.609  -494.7  49.609  -499.9
 49.805  -499.9  49.805  -499.9
 50.000  -499.9  50.000  -498.2
 50.195  -499.9  50.195  -484.4
 50.391  -490.1  50.391  -464.6
 50.586  -464.8  50.586  -431.3
 50.781  -440.2  50.781  -401.2
 50.977  -397.5  50.977  -350.2
 51.172  -361.5  51.172  -312.8
 51.367  -298.0  51.367  -242.1
 51.562  -248.3  51.562  -191.5
 51.758  -181.6  51.758  -128.2
 51.953  -137.0  51.953   -78.0
 52.148   -59.8  52.148    -0.9
 52.344    -3.5  52.344    52.8
 52.539    68.3  52.539   127.2
 52.734   109.8  52.734   166.8
 52.930   179.4  52.930   234.0
 53.125   227.6  53.125   277.9
 53.320   285.2  53.320   326.0
 53.516   316.7  53.516   351.4
 53.711   368.1  53.711   396.1
 53.906   400.4  53.906   419.0
 54.102   429.3  54.102   448.1
 54.297   445.4  54.297   462.4
 54.492   472.3  54.492   475.8
 54.688   480.8  54.688   482.8
 54.883   484.1  54.883   479.6
 55.078   483.2  55.078   474.7
 55.273   474.0  55.273   455.7
 55.469   461.7  55.469   439.1
 55.664   434.9  55.664   402.4
 55.859   416.8  55.859   383.5
 56.055   371.0  56.055   325.7
 56.250   333.8  56.250   287.4
 56.445   276.4  56.445   221.4
 56.641   229.7  56.641   176.2
 56.836   172.5  56.836   109.8
 57.031   114.1  57.031    50.4
 57.227    44.4  57.227   -19.2
 57.422    -5.0  57.422   -61.2
 57.617   -85.1  57.617  -144.3
 57.812  -137.1  57.812  -190.8
 58.008  -219.3  58.008  -259.8
 58.203  -252.2  58.203  -294.8
 58.398  -304.5  58.398  -350.6
 58.594  -354.5  58.594  -380.5
 58.789  -397.9  58.789  -427.9
 58.984  -421.7  58.984  -444.5
 59.180  -451.4  59.180  -476.4
 59.375  -479.2  59.375  -491.6
 59.570  -495.5  59.570  -499.9
